- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 12:42:18,711 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 12:48:20,520 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng Xuất thành công! user: |trung| - vào ngày: 2021-05-16 12:49:11,605 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 12:49:12,891 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 12:51:55,408 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 12:56:43,987 - INFO -  ĐỒ_ÁN.login ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 102| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:17,140 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 101| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:21,855 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 103| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:27,908 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 101| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:41,113 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 101| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:42,077 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 204| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:48,588 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 205| Thành công! user: |trung| - vào ngày:  2021-05-16 12:57:51,667 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 12:58:32,125 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 12:59:36,838 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 13:07:23,793 - INFO -  ĐỒ_ÁN.login ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 102| Thành công! user: |trung| - vào ngày:  2021-05-16 13:08:05,001 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 13:11:55,780 - INFO -  ĐỒ_ÁN.login ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 105| Thành công! user: |trung| - vào ngày:  2021-05-16 13:12:52,018 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 13:16:41,153 - INFO -  ĐỒ_ÁN.login ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 105| Thành công! user: |trung| - vào ngày:  2021-05-16 13:17:44,034 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 106| Thành công! user: |trung| - vào ngày:  2021-05-16 13:17:45,657 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 105| Thành công! user: |trung| - vào ngày:  2021-05-16 13:18:05,161 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 105| Thành công! user: |trung| - vào ngày:  2021-05-16 13:18:11,911 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 105| Thành công! user: |trung| - vào ngày:  2021-05-16 13:18:20,198 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 105| Thành công! user: |trung| - vào ngày:  2021-05-16 13:18:22,008 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 101| Thành công! user: |trung| - vào ngày:  2021-05-16 13:18:34,492 - INFO -  ĐỒ_ÁN.RoomManager ------ 
